Multiplier,   Short name,   Long Name
1,            da,           deca
2,            h,            hecto
3,            k,            kilo
6,            M,            mega
9,            G,            giga
12,           T,            tera
15,           P,            peta
18,           E,            exa
21,           Z,            zetta
24,           Y,            yotta
-1,           d,            deci
-2,           c,            centi
-3,           m,            mili
-6,           μ,            micro
-9,           n,            nano
-12,          p,            pico
-15,          f,            femto
-18,          a,            atto
-21,          z,            zepto
-24,          y,            yocto
