# Format: group_key = { key = bookmark_portrait_key text = "String Text "}

left = { key = historical_export_easteregg_alexander_oltner text = "Alexander Oltner" }
right = { key = historical_export_easteregg_henrik_fahraeus text = "Henrik Fåhraeus" }
left = { key = historical_export_easteregg_linda_tiger text = "Linda Tiger" }
right = { key = historical_export_easteregg_lysann_schlegel text = "Lysann Schlegel" }
left = { key = historical_export_easteregg_olof_bjork text = "Olof Björk" }
right = { key = historical_export_easteregg_joel_hansson text = "Joel Hansson" }
left = { key = historical_export_easteregg_magne_skjaeran text = "Magne Skjæran" }
right = { key = historical_export_easteregg_matthew_clohessy text = "Matthew Clohessy" }
left = { key = historical_export_easteregg_ismael_serrano text = "Ismael Serrano" }
right = { key = historical_export_easteregg_pontus_olofsson text = "Pontus Olofsson" }
left = { key = historical_export_easteregg_nils_wadensten text = "Nils Wadensten" }
right = { key = historical_export_easteregg_petter_lundh text = "Petter Lundh" }
left = { key = historical_export_easteregg_malin_jonsson text = "Malin Jonsson" }
right = { key = historical_export_easteregg_joacim_carlberg text = "Joacim Carlberg" }
left = { key = historical_export_easteregg_nikolaos_kaltsogiannis text = "Nikolaos Kaltsogiannis" }
right = { key = historical_export_easteregg_emil_tisander text = "Emil Tisander" }
left = { key = historical_export_easteregg_jonas_wickerstrom text = "Jonas Wickerström" }
right = { key = historical_export_easteregg_peter_johannesson text = "Peter Johannesson" }
left = { key = historical_export_easteregg_maximilian_olbers text = "Maximilian Olbers" }
right = { key = historical_export_easteregg_linnea_thimren text = "Linnéa Thimrén" }
left = { key = historical_export_easteregg_mathilda_bjarnehed text = "Mathilda Bjarnehed" }
right = { key = historical_export_easteregg_petter_vilberg text = "Petter Vilberg" }
left = { key = historical_export_easteregg_sean_hughes text = "Sean Hughes" }
right = { key = historical_export_easteregg_milla_lankinen text = "Camilla Isaksson" }
left = { key = historical_export_easteregg_bianca_savazzi text = "Bianca Savazzi" }
right = { key = historical_export_easteregg_jakub_potapczyk text = "Jakub Potapczyk" }
left = { key = historical_export_easteregg_paul_depre text = "Paul Depre" }
right = { key = historical_export_easteregg_tegan_harris text = "Tegan Harris" }
left = { key = historical_export_easteregg_max_weltz text = "Max Weltz" }
right = { key = historical_export_easteregg_christian_daflos text = "Christian Daflos" }
left = { key = historical_export_easteregg_max_collin text = "Max Collin" }
right = { key = historical_export_easteregg_katya_boestad text = "Katya Boestad" }
left = { key = historical_export_easteregg_steacy_mcilwham text = "Steacy McIlwham" }
right = { key = historical_export_easteregg_debbie_lane text = "Debbie Lane" }
left = { key = historical_export_easteregg_hanna_lohman text = "Hanna Löhman" }
right = { key = historical_export_easteregg_henrik_lohmander text = "Henrik Lohmander" }
left = { key = historical_export_easteregg_hugo_cortell text = "Hugo Cortell Ibáñez" }
right = { key = historical_export_easteregg_stina_arvidsson_radestig text = "Stina Arvidsson Rådestig" }
left = { key = historical_export_easteregg_elena_zenko text = "Elena Zenko" }
right = { key = historical_export_easteregg_ola_jentzsch text = "Ola Jentzsch"}
left = { key = historical_export_easteregg_sandra_runge_moller text = "Sandra Runge Møller" }
right = { key = historical_export_easteregg_fei_berg_hulthen text = "Fei Berg Hulthén" }
